Order ID,Order Status,Category Name,Product Name,Quantity,Unit Price,Total Price,Sub Total,Delivery Charge,Payment Method,Customer ID,Merchant,Order Time,Customer Country,Purchase Again
8236617,DEFAULT,Promotions,03 fardeaux Ifri + 1 offert,30,480,14400,43650,200200,CASH_PAY,8392354.0,6158523,2021-01-01 00:26:48,Algeria,1
8236617,DEFAULT,Promotions,3 fardeaux coca achetes = 1 fardeau offert,15,1800,27000,43650,200200,CASH_PAY,8392354.0,6158523,2021-01-01 00:26:48,Algeria,1
8236617,DEFAULT,Promotions,Snickers mini cube 200g,5,450,2250,43650,200200,CASH_PAY,8392354.0,6158523,2021-01-01 00:26:48,Algeria,1
8236624,COMPLETED,Paves,Pave chocolat,3,100,300,1460,700700,CARD_PAY,6359544.0,17654385,2021-01-01 00:27:29,Algeria,1
8236624,COMPLETED,Tartes,Tarte citron,3,100,300,1460,700700,CARD_PAY,6359544.0,17654385,2021-01-01 00:27:29,Algeria,1
8236624,COMPLETED,Tartes,Tarte frutis,3,120,360,1460,700700,CARD_PAY,6359544.0,17654385,2021-01-01 00:27:29,Algeria,1
8236624,COMPLETED,Eclaires,Eclaire chocolat,2,100,200,1460,700700,CARD_PAY,6359544.0,17654385,2021-01-01 00:27:29,Algeria,1
8236624,COMPLETED,Mille-Feuille,Mille-feuille citron,5,60,300,1460,700700,CARD_PAY,6359544.0,17654385,2021-01-01 00:27:29,Algeria,1
8236744,REJECTED,Biscuits,LU PIM's framboise 150g,10,375,3750,3750,200200,CASH_PAY,8392354.0,6158523,2021-01-01 00:41:18,Algeria,1
8236772,REJECTED,Petit-dejeuner,KELLOGGS Corn Flakes 375g,3,600,1800,1800,200200,CASH_PAY,8392354.0,6158523,2021-01-01 00:46:25,Algeria,1
8238426,COMPLETED,Jouets,Voiture de police telecommandee avec lumi̬res-haute vitesse-look elegant et design moderne pour enfants -multicolore,1,2200,2200,2200,520520,CARD_PAY,7279950.0,16666776,2021-01-01 04:51:53,Algeria,0
8238633,COMPLETED,Covid-19,Supradyn energie,1,1379.99,1379.99,4022.25,20802080,CARD_PAY,7279950.0,16800798,2021-01-01 05:22:00,Algeria,0
8238633,COMPLETED,Covid-19,DOPPEL HERZ Omega 3,1,1180.26,1180.26,4022.25,20802080,CARD_PAY,7279950.0,16800798,2021-01-01 05:22:00,Algeria,0
8238633,COMPLETED,Covid-19,Doppel Herz Zinc+ vit C + histidine,1,1462,1462,4022.25,20802080,CARD_PAY,7279950.0,16800798,2021-01-01 05:22:00,Algeria,0
8238776,COMPLETED,,Steak 250 Gr,4,487.5,1950,7856,640640,CARD_PAY,6115922.0,8069691,2021-01-01 05:42:44,Algeria,0
8238776,COMPLETED,,Entrecote sans os 250 Gr,2,655.5,1311,7856,640640,CARD_PAY,6115922.0,8069691,2021-01-01 05:42:44,Algeria,0
8238776,COMPLETED,,Viande hachee 250 Gr,2,462.5,925,7856,640640,CARD_PAY,6115922.0,8069691,2021-01-01 05:42:44,Algeria,0
8238776,COMPLETED,,Escalope de dinde 250 Gr,4,275,1100,7856,640640,CARD_PAY,6115922.0,8069691,2021-01-01 05:42:44,Algeria,0
8238776,COMPLETED,,"Poulet complet entre 1,8 kg et 2,3 kg",1,1150,1150,7856,640640,CARD_PAY,6115922.0,8069691,2021-01-01 05:42:44,Algeria,0
8238776,COMPLETED,,Merguez Royal 250 Gr,4,355,1420,7856,640640,CARD_PAY,6115922.0,8069691,2021-01-01 05:42:44,Algeria,0
8239068,COMPLETED,Promotions,03 fardeaux Ifri + 1 offert,2,480,960,960,200200,CASH,7811702.0,6158523,2021-01-01 06:28:19,Algeria,0
8239260,COMPLETED,Promotions,Fardeau Ifri jus Orange P̻che 1L + fardeau Ifri eau gratuit !,1,600,600,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Promotions,Nestle dolca au lait 100g,1,125,125,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Lait,Loya lait en poudre sachet 500g,2,430,860,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Bebe,MOLFIX mm n1/40pcs,1,700,700,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Bebe,NIVEA BABY poudre de soins apaisante 100g,1,720,720,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Bebe,PAMPAM lingette parfumee 120pcs,1,155,155,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Biscuits,BIMO double mix choco,2,80,160,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Biscuits,BIMO tango 255g,2,80,160,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Biscuits,BIMO best of choco/choco,2,80,160,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
8239260,COMPLETED,Chocolat,MAXON chocolat noir,1,55,55,7025,200200,CASH,8138682.0,6158523,2021-01-01 06:48:02,Algeria,0
